name,latitude,longitude,rating,no_of_reviews,delivery_options,promotion,post_code,suburb,road,delivery_cost_winsorized,sun,mon,tue,wed,thu,fri,sat,delivery_time_winsorized
texas chicken,1.2647917455551152,103.82210285559164,3.8,1591.0,3,1,098585,Bukit Merah,Harbourfront Avenue,5.7,1,1,1,1,1,1,1,43.0
subway,1.2647407805011284,103.82207197855752,4.2,197.0,3,1,098585,Bukit Merah,Telok Blangah Road,5.7,1,1,1,1,1,1,1,42.0
wingstop,1.263526797990238,103.8217115875525,4.4,1391.0,3,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,45.0
burger king,1.2637407934423948,103.82135428346544,4.1,389.0,3,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,41.0
egg stop,1.264835440027852,103.82178452887324,3.5,25.0,1,1,098585,Bukit Merah,Telok Blangah Road,4.09,1,1,1,1,1,1,1,39.0
shake shack,1.2636821011513175,103.82110697510365,4.5,661.0,1,1,098585,Bukit Merah,Harbourfront Avenue,7.5,1,1,1,1,1,1,1,35.0
wine connection,1.263685636341009,103.82173048104136,4.1,208.0,1,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,37.0
cedele,1.2635253410991965,103.82234476813164,4.1,74.0,1,1,098137,Bukit Merah,Sentosa Boardwalk,4.7,1,1,1,1,1,1,1,44.0
carl's jr.,1.2640364249148348,103.822801446811,4.2,860.0,3,0,098585,Bukit Merah,Harbourfront Avenue,4.7,1,1,1,1,1,1,1,41.0
hoshino coffee,1.2637521672704253,103.8221243093712,4.1,14.0,1,1,099253,Bukit Merah,Harbourfront Walk,5.5,1,1,1,1,1,1,1,45.0
brotzeit,1.264058177299077,103.82125428772171,4.4,51.0,1,1,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,43.0
pizzakaya,1.2635233,103.8216938,4.7,11.0,1,1,098585,Bukit Merah,Harbourfront Avenue,5.5,1,1,1,1,1,1,1,46.0
beef bro,1.2649540806259123,103.82144540502144,4.0,78.0,1,1,098867,Bukit Merah,Telok Blangah Road,5.7,1,1,1,1,1,1,1,43.0
dancing crab,1.2636804,103.82128395,4.3,21.0,1,0,098585,Bukit Merah,Harbourfront Avenue,5.6,1,1,1,1,1,1,1,39.0
the coffee bean & tea leaf,1.2649063812103662,103.82184847650764,4.4,120.0,1,1,098585,Bukit Merah,Telok Blangah Road,5.5,1,1,1,1,1,1,1,40.0
the soup spoon,1.264274165113477,103.82019676918742,4.4,199.0,3,1,099253,Bukit Merah,Harbourfront Walk,4.09,1,1,1,1,1,1,1,41.0
kfc,1.265112280845642,103.8200324,4.2,1654.0,3,1,099253,Bukit Merah,Maritime Square,7.5,1,1,1,1,1,1,1,41.0
pastamania,1.2641799649646828,103.82015703955562,4.3,213.0,1,1,099253,Bukit Merah,Maritime Square,5.6,1,1,1,1,1,1,1,41.0
simply wrapps,1.2647053,103.82012061764704,4.3,587.0,1,1,098633,Bukit Merah,Harbourfront Place,5.7,1,1,1,1,1,1,1,42.0
arbora garden and bistro,1.2713359,103.81932634232888,5.0,1.0,1,1,098915,Bukit Merah,Mount Faber Road,7.1,1,1,1,1,1,1,1,52.0
harry's,1.2650626,103.81995974444445,4.0,54.0,1,1,099253,Bukit Merah,Maritime Square,4.09,1,1,1,1,1,1,1,37.0
panamericana,1.243977587600785,103.82910886052908,4.7,3.0,1,1,099891,Southern Islands,Bukit Manis Road,6.0,1,1,1,1,1,1,1,70.0
prive keppel bay,1.2640233,103.81255120936562,4.4,128.0,1,1,098382,Bukit Merah,Keppel Bay Vista,7.7,1,1,1,1,1,1,1,45.0
char grill bar,1.277410313,103.8200689,3.9,25.0,1,1,090012,Bukit Merah,Telok Blangah Crescent,6.0,1,1,1,1,1,1,1,39.0
fuel plus,1.2696302,103.8148563,4.4,99.0,1,1,098721,Bukit Merah,Wishart Road,6.1,1,1,0,0,1,1,1,38.0
morettino italian cafe & bistro,1.274593605245832,103.84338012173752,3.2,32.0,1,1,079027,Downtown Core,Tras Street,4.9,1,1,1,1,1,1,1,40.0
kraftwich by swissbake,1.2649583333333332,103.8201095,4.4,7.0,1,0,098633,Bukit Merah,Harbourfront Place,5.7,1,1,1,1,1,1,1,35.0
sg eat food court,1.27467005,103.84342985,4.2,26.0,1,0,079027,Downtown Core,Tras Street,4.9,1,1,1,1,1,1,1,41.0
little part 1 cafe,1.2757997,103.83570738,4.6,18.0,1,0,169377,Bukit Merah,Blair Road,6.5,1,0,0,0,1,1,1,38.0
skirt,1.2464016333333334,103.8423954,4.0,37.0,1,0,098374,Southern Islands,Ocean Way,8.7,1,1,1,1,1,1,1,46.0
jed's,1.2755019328516006,103.84307866356464,5.0,0.0,1,0,082001,Outram,Tanjong Pagar Road,5.0,0,1,1,1,1,1,1,36.0
kith cafe,1.277023,103.8370148,4.4,189.0,1,1,169339,Bukit Merah,Spottiswoode Park Road,6.2,1,1,1,1,1,1,1,40.0
kream & kensho,1.2770163559800949,103.83634653404306,5.0,3.0,1,0,169356,Bukit Merah,Kampong Bahru Road,6.1,1,1,1,1,1,1,1,38.0
canadian pizza,1.2762709598548128,103.83552111017896,4.2,359.0,1,1,169377,Bukit Merah,Kampong Bahru Road,7.9,1,1,1,1,1,1,1,45.0
mariners' corner restaurant,1.276647946532806,103.84059001852746,5.0,5.0,1,0,089760,Bukit Merah,Cantonment Road,6.6,1,1,1,1,1,1,1,40.0
dimbulah grains,1.2736432,103.84465131918326,4.2,20.0,1,1,079911,Downtown Core,Anson Road,5.0,1,1,1,1,1,1,1,31.0
old habits boutique and cafe,1.2772713666666666,103.8174524,4.5,62.0,1,1,098803,Bukit Merah,Telok Blangah Way,6.1,1,1,1,1,1,1,1,39.0
puteca abate,1.2788029,103.84158748,5.0,7.0,1,1,089109,Outram,Keong Saik Road,6.5,1,1,1,1,1,1,1,40.0
the butcher's wife,1.2828053,103.8302269,4.4,41.0,1,0,163078,Bukit Merah,Yong Siak Street,6.6,1,1,1,1,1,1,1,44.0
ma maison,1.2745722984615384,103.84345835,4.3,62.0,1,1,079027,Downtown Core,Tras Street,4.8,1,1,1,1,1,1,1,38.0
jacky penang xiao chi & western 槟城小吃,1.2809338810113773,103.8234102,5.0,3.0,1,0,169311,Bukit Merah,Lower Delta Road,6.2,0,1,1,0,1,1,1,42.0
leopold gastrobar,1.2781654,103.84379,3.7,3.0,1,0,088494,Outram,Tanjong Pagar Road,6.0,1,0,1,1,1,1,1,60.0
owl bar,1.2824465635696498,103.8359320428866,4.4,5.0,1,0,169850,Bukit Merah,College Road,5.0,1,1,1,1,1,1,1,43.0
pasta brava,1.2775282791873273,103.84269788,4.3,42.0,1,0,089671,Outram,Craig Road,6.4,1,1,1,1,1,1,1,42.0
killiney,1.2829079096774194,103.82044313509132,4.1,105.0,1,1,159545,Bukit Merah,Henderson Road,6.7,0,1,1,1,1,1,1,43.0
una,1.2785143,103.8132402,5.0,0.0,1,0,109178,Bukit Merah,Telok Blangah Green,6.4,1,1,1,1,1,1,1,44.0
collin's restaurant,1.2828378177074216,103.82599830313706,4.4,4806.0,1,1,161026,Bukit Merah,Jalan Membina,4.09,1,1,1,1,1,1,1,47.0
souvlaki bar by fotia,1.2781818861158172,103.8426160458306,4.3,4.0,1,0,089604,Outram,Duxton Hill,6.5,1,1,1,1,1,1,1,46.0
the wine & gourmet friends,1.2796382,103.8404384,4.8,5.0,1,0,098859,Outram,Bukit Pasoh Road,6.7,1,1,1,1,1,1,1,48.0
wildseed cafe,1.2786793,103.8132329,4.2,19.0,1,0,109178,Bukit Merah,Telok Blangah Green,6.4,1,1,1,1,1,1,1,43.0
paninoteca,1.2788095,103.8444281,5.0,4.0,1,1,078857,Outram,Cook Street,5.3,1,1,1,1,1,1,1,42.0
d.o.c,1.2794944180037362,103.84401755670206,4.0,86.0,3,0,088444,Outram,Tanjong Pagar Road,9.6,1,0,1,1,1,1,1,45.0
o'coffee club xpress,1.2818372,103.8352761,4.6,22.0,1,0,168581,Bukit Merah,Jalan Bukit Merah,5.3,1,1,1,1,1,1,1,45.0
fleur de sel le restaurant,1.2777340783515714,103.84432177,4.2,25.0,1,0,078977,Outram,Tras Street,5.2,1,1,1,1,1,1,1,43.0
han's,1.276663749579832,103.84502100000002,4.4,93.0,1,1,078881,Downtown Core,Wallich Street,5.1,1,1,1,1,1,1,1,44.0
d.bespoke,1.2785941,103.8409862,5.0,1.0,1,0,088849,Outram,Neil Road,6.8,1,1,1,1,1,1,1,42.0
l'entrecote the steak and fries bistro,1.2790609,103.8429068,3.7,34.0,1,0,089591,Outram,Duxton Hill,5.9,1,1,1,1,1,1,1,46.0
cafe sofi,1.27753,103.8427808,2.8,21.0,1,0,089667,Outram,Craig Road,4.9,1,1,1,1,1,1,1,45.0
the feather blade,1.278359305,103.8438855,3.3,23.0,1,0,088482,Outram,Tanjong Pagar Road,5.1,1,0,1,1,1,1,1,44.0
flock cafe,1.2836587,103.83020482,4.2,223.0,1,1,162078,Bukit Merah,Moh Guan Terrace,6.8,1,1,1,1,1,1,1,46.0
sauced steakhouse,1.2791792651586746,103.84278650347392,4.1,12.0,1,0,089591,Outram,Duxton Hill,10.0,1,1,1,1,1,1,1,70.0
bar cicheti,1.2798796,103.8418643,4.5,15.0,1,0,089267,Outram,Jiak Chuan Road,6.6,1,1,1,1,1,1,1,44.0
pince and pints,1.2790339,103.8433123630438,4.4,35.0,1,1,089496,Outram,Duxton Road,5.1,1,1,1,1,1,1,1,45.0
char grill bar,1.282784640756546,103.82557665621567,3.8,215.0,1,1,161026,Bukit Merah,Jalan Membina,6.7,1,1,1,1,1,1,1,44.0
monument lifestyle,1.2827933,103.830095,3.0,1.0,1,0,163078,Bukit Merah,Yong Siak Street,6.5,1,1,1,1,1,1,1,41.0
drips bakery cafe,1.2836213561730183,103.8340283047282,3.6,21.0,1,0,169796,Bukit Merah,Tiong Poh Road,5.3,1,1,1,1,1,1,1,42.0
buko nero,1.2776628,103.84357282029065,4.8,15.0,1,0,088534,Outram,Tanjong Pagar Road,5.2,1,0,0,1,1,1,1,39.0
wkd cuts,1.279179265,103.8427865,5.0,0.0,1,0,089591,Outram,Duxton Hill,10.0,1,1,1,1,1,1,1,70.0
ristorante luka,1.2799078,103.84392642884328,4.2,60.0,1,1,088443,Outram,Tanjong Pagar Road,5.8,1,1,1,1,1,1,1,49.0
merci marcel,1.2843495,103.8335917,4.5,115.0,1,0,160056,Bukit Merah,Eng Hoon Street,5.4,1,1,1,1,1,1,1,45.0
manhattan meatball company,1.279271032834293,103.84280992795564,4.7,35.0,1,0,089591,Outram,Duxton Hill,10.0,1,1,1,1,1,1,1,70.0
thefoodsteps,1.2852216666666667,103.8278752636292,4.0,2.0,1,0,164018,Bukit Merah,Jalan Membina,6.6,1,1,0,1,1,1,1,44.0
coq & balls,1.2851712928571428,103.829470275,3.6,27.0,1,0,169252,Bukit Merah,Kim Tian Road,6.6,1,1,1,1,1,1,1,46.0
keong saik - beta,1.2802462666666667,103.8416475,3.9,19.0,1,0,089146,Outram,Keong Saik Road,6.1,1,1,1,1,1,1,1,45.0
cafe4you,1.2830624,103.8163734,4.6,60.0,1,1,150165,Bukit Merah,Bukit Merah Central,6.5,1,1,1,1,1,1,1,42.0
caffe pralet,1.2836545665562928,103.83443029123468,4.9,10.0,1,0,169753,Bukit Merah,Eng Hoon Street,5.5,1,1,1,1,1,1,1,45.0
quentin's bar & restaurant,1.253385,103.820616,5.0,2.0,1,0,099953,Southern Islands,Artillery Avenue,15.0,1,0,1,1,1,1,1,70.0
skirt & dirt,1.2850211,103.8323681437904,4.6,15.0,1,1,168898,Bukit Merah,Seng Poh Road,8.1,1,0,1,1,1,1,1,49.0
k.o.p - king of pasta,1.265032275,103.82293008125,3.7,16.0,1,0,098828,Bukit Merah,Telok Blangah Road,7.2,0,1,0,0,0,0,0,45.0
pastasutra,1.279179265,103.8427865,1.0,2.0,1,0,089591,Outram,Duxton Hill,10.0,1,1,1,1,1,1,1,70.0
auntie anne's soft pretzels,1.2647804,103.82204,4.6,84.0,3,1,098585,Bukit Merah,Telok Blangah Road,7.2,1,1,1,1,1,1,1,41.0
afterglow,1.28010595,103.8415439,4.3,56.0,1,0,089143,Outram,Keong Saik Road,5.1,0,1,1,1,1,1,1,48.0
priority pasta by the priority club,1.265074,103.822739,3.0,0.0,3,0,098585,Bukit Merah,Harbourfront Avenue,4.09,1,1,1,1,1,1,1,30.0
flor patisserie,1.2793105,103.8431267,4.5,243.0,1,0,089589,Outram,Duxton Hill,8.6,1,0,1,1,1,1,1,44.0
burn,1.27677704264601,103.83587732798595,4.2,14.0,1,0,169368,Bukit Merah,Kampong Bahru Road,4.7,1,0,0,1,1,1,1,39.0
tapas club,1.26370372,103.8230231,4.7,12.0,1,0,098585,Bukit Merah,Sentosa Gateway,6.8,0,1,0,0,0,0,0,45.0
the caffeine experience,1.2782213,103.8359944,5.0,1.0,1,0,168581,Bukit Merah,Jalan Bukit Merah,4.7,0,1,1,1,1,1,0,47.0
chapter 55,1.2841978621071213,103.83438347378971,4.1,373.0,1,1,160055,Bukit Merah,Tiong Poh Road,5.9,1,1,1,1,1,1,1,45.0
the chef's place,1.2776211,103.8171807,4.0,53.0,2,1,098803,Bukit Merah,Telok Blangah Way,7.8,1,1,1,1,1,1,1,51.0
little house of dreams,1.2849033,103.8331058,4.0,78.0,1,1,160058,Bukit Merah,Seng Poh Road,5.4,1,1,1,1,1,1,1,46.0
at the myo,1.2768737,103.8400891,3.6,25.0,1,0,080004,Bukit Merah,Cantonment Road,5.0,0,1,0,0,0,0,0,54.0
one burger club,1.2636871,103.82304756657682,3.0,1.0,1,0,098585,Bukit Merah,Sentosa Gateway,6.8,0,1,0,0,0,0,0,28.0
buddy chef grill,1.2804861172676325,103.8222778,3.8,12.0,1,0,169208,Bukit Merah,Lower Delta Road,6.7,0,1,1,1,1,1,0,48.0
strait place 1819,1.2645223356130366,103.82220942965424,3.9,18.0,1,0,098585,Bukit Merah,Harbourfront Avenue,7.9,1,1,1,1,1,1,1,37.0
dusk restaurant & bar,1.27116235,103.81956744385192,5.0,3.0,1,1,099115,Bukit Merah,Mount Faber Road,10.5,1,1,1,1,1,1,1,40.0
panini italiani by da paolo,1.265074,103.822739,5.0,0.0,3,0,098585,Bukit Merah,Harbourfront Avenue,6.8,1,1,1,1,1,1,1,38.0
myo,1.2769661942500932,103.8401181043813,4.6,8.0,1,1,080004,Bukit Merah,Cantonment Road,5.6,1,1,1,1,1,1,1,47.0
pizza hut,1.26517925,103.82016543636364,4.1,294.0,1,1,098867,Bukit Merah,Telok Blangah Road,7.2,1,1,1,1,1,1,1,38.0
pizzeria l'operetta,1.27526706742671,103.8445366,4.0,116.0,1,0,078878,Downtown Core,Gopeng Street,4.3,1,1,1,1,1,1,1,40.0
salads & wraps,1.2751984,103.8443038,4.7,94.0,1,0,078878,Downtown Core,Gopeng Street,4.4,0,1,1,1,1,1,0,37.0
blue cafe,1.2737966,103.8090143,4.1,37.0,1,0,100066,Bukit Merah,Telok Blangah Street 32,8.6,0,1,1,1,1,1,1,31.0
trattoria nonna lina,1.2783500735607372,103.8403427,4.3,19.0,1,0,088875,Outram,Cantonment Road,4.6,1,0,1,1,1,1,1,50.0
meet paul,1.274938,103.842476,5.0,0.0,1,0,082001,Downtown Core,Tanjong Pagar Road,4.6,0,1,1,1,1,1,1,37.0
rocky master,1.2745192828708185,103.8453274,4.3,13.0,1,1,079914,Downtown Core,Anson Road,4.3,0,1,1,1,1,1,0,37.0
trattoria pizzeria logic,1.2777059,103.8423352,4.9,8.0,1,0,089680,Outram,Craig Road,4.7,1,1,1,1,1,1,1,47.0
beurre,1.27913178,103.8406715,4.7,69.0,1,0,089833,Outram,Bukit Pasoh Road,4.5,0,1,1,1,1,1,1,43.0
amuse social gathering,1.2798181,103.8398791,3.0,1.0,1,0,088764,Outram,New Bridge Road,4.7,1,1,1,1,1,1,1,30.0
ah bu kitchen,1.27972,103.84055,5.0,2.0,1,0,098859,Outram,Bukit Pasoh Road,4.5,0,1,1,1,1,1,1,41.0
western apex henderson,1.2823925,103.8200732,4.0,1.0,1,0,159545,Bukit Merah,Henderson Road,8.0,0,1,1,1,1,1,0,30.0
lobsters & ice cream,1.2767695399492318,103.8433428,3.9,36.0,1,0,081006,Outram,Tanjong Pagar Road,4.5,1,1,1,1,1,1,1,31.0
coucou,1.2775525,103.84278590629432,4.0,1.0,1,0,089667,Outram,Craig Road,4.4,1,0,1,1,1,1,1,44.0
coffee bandits hq,1.2811834069366457,103.8188445,4.6,27.0,1,0,159553,Bukit Merah,Henderson Road,7.7,1,0,0,0,0,0,0,37.0
fung kee hotdog,1.2779304,103.8431088,2.6,9.0,1,0,089529,Outram,Duxton Road,4.4,1,0,1,1,1,1,1,39.0
prata alley,1.3121373,103.7651698,4.4,1674.0,1,1,120321,Clementi,Bridge inside Clement MRT Station that connects to Clementi Mall,21.7,1,1,1,1,1,1,1,70.0
hops n malt,1.2848816,103.8294769,4.0,2.0,1,0,169252,Bukit Merah,Kim Tian Road,6.5,0,1,1,1,1,1,1,49.0
hot plate western food,1.2849784375,103.8322077625,5.0,2.0,1,0,168898,Bukit Merah,Seng Poh Road,5.7,1,1,0,1,1,1,1,45.0
popeyes,1.3390290083973042,103.70562118316803,4.3,7895.0,1,1,648886,Jurong West,Jurong West Central 2,18.2,1,1,1,1,1,1,1,70.0
iskina cebu,1.2976021523856025,103.78731059701832,4.3,336.0,1,0,139957,Queenstown,Ayer Rajah Crescent,21.7,0,1,1,1,1,1,1,70.0
common grill,1.3209372518238107,103.76704224470228,4.5,1817.0,1,1,120308,Clementi,Clementi Avenue 4,4.09,1,1,1,1,1,1,1,70.0
priority pasta by the priority club,1.3077575,103.7577887,1.0,2.0,1,1,128477,Clementi,Pandan Crescent,21.7,1,1,1,1,1,1,1,68.0
vicky's & the coffee shack,1.3387837887285547,103.77878862877488,4.4,53.0,3,0,588996,Bukit Timah,Jalan Anak Bukit,21.7,0,1,1,1,1,1,1,70.0
maison marie,1.35773050150179,103.768137724847,5.0,4.0,1,1,678048,Bukit Panjang,Upper Bukit Timah Road,21.1,1,0,1,1,1,1,1,70.0
swensen's,1.3390161,103.7055711,4.3,1371.0,1,1,648886,Jurong West,Jurong West Central 2,15.5,1,1,1,1,1,1,1,70.0
bowl & grill,1.353001090069226,103.75726564124656,4.0,1579.0,3,1,659801,Bukit Batok,Hillview Terrace,21.7,1,1,1,1,1,1,1,66.0
ritz's kitchen,1.3503607511520384,103.7310406565666,4.0,4850.0,1,0,609788,Jurong East,Jurong East Avenue 1,17.8,1,1,1,1,1,1,1,70.0
pizzaexpress,1.3113028557210775,103.79565669491296,3.1,6.0,1,0,278980,Bukit Timah,Holland Avenue,21.7,1,1,1,1,1,1,1,70.0
la nonna,1.3115133,103.79477696784012,4.3,334.0,1,0,277691,Bukit Timah,Lorong Mambong,21.7,1,1,1,1,1,1,1,70.0
da paolo pizza bar,1.311868,103.7969972,3.8,358.0,1,0,278116,Bukit Timah,Jalan Merah Saga,21.7,1,1,1,1,1,1,1,70.0
trattoria capri,1.335722948425762,103.7865454,4.5,141.0,1,0,589821,Bukit Timah,Jalan Jambu Mawar,21.7,1,0,1,1,1,1,1,64.0
tandoori bites,1.3164406,103.7577936,3.9,79.0,1,0,128020,Clementi,West Coast Way,21.7,1,1,0,1,1,1,1,70.0
lino,1.3357188740355233,103.78669244,4.3,42.0,3,1,589821,Bukit Timah,Binjai Park,21.7,1,1,1,1,1,1,1,68.0
pizzaboy,1.3808244102889518,103.76017317238755,4.3,992.0,1,0,677899,Choa Chu Kang,Woodlands Road,21.2,1,1,1,1,1,1,1,70.0
the halia,1.3112645795731002,103.81504245,3.7,11.0,1,0,259569,Tanglin,Cluny Road,21.7,1,1,1,1,1,1,1,66.0
chop steak western cuisine,1.314713,103.77106033163756,4.4,634.0,1,0,120352,Clementi,Clementi Avenue 2,21.7,1,1,1,1,1,1,1,63.0
refuel cafe 2,1.2861911,103.80984825,4.6,1078.0,1,1,151028,Bukit Merah,Hoy Fatt Road,21.7,1,1,1,1,1,1,1,70.0
nando's,1.304898,103.823568,4.2,883.0,1,1,247933,Tanglin,Tanglin Road,21.7,1,1,1,1,1,1,1,70.0
atlas coffeehouse,1.3229912,103.8121207330787,4.6,835.0,1,0,268886,Bukit Timah,Duke's Road,21.7,1,1,1,1,1,1,1,68.0
rubato,1.3311167,103.8070562,4.2,647.0,1,0,289204,Bukit Timah,Greenwood Avenue,21.7,1,1,1,1,1,1,1,70.0
relish by wild rocket,1.3226371500000005,103.8144839,4.4,207.0,1,0,259760,Tanglin,Bukit Timah Road,21.7,1,1,1,1,1,1,1,68.0
isteaks,1.3066574,103.7880047,4.4,2550.0,1,0,150162,Queenstown,Vista Exchange Green,21.7,1,1,1,1,1,1,1,70.0
al afrose restaurant,1.2953276634216306,103.8295409,4.1,2372.0,1,1,248307,Tanglin,River Valley Road,21.7,1,1,1,1,1,1,1,69.0
tuga portuguese restaurant,1.3043082,103.8096118,3.0,5.0,1,0,247696,Tanglin,Dempsey Road,21.7,1,1,1,1,1,1,1,67.0
brasserie les saveurs,1.3056725692307694,103.82604692,4.5,10.0,1,0,247911,Orchard,Tanglin Road,21.7,1,1,1,1,1,1,1,70.0
chop steak western cuisine,1.3072003,103.7953568,4.4,652.0,1,1,271006,Queenstown,Holland Close,21.7,1,1,1,1,1,1,1,67.0
original sin,1.3112437570062137,103.7966387,3.9,46.0,1,1,278115,Bukit Timah,Jalan Merah Saga,21.7,1,1,1,1,1,1,1,70.0
holland village - beta,1.3114441,103.7967285,4.3,66.0,1,0,278116,Bukit Timah,Jalan Merah Saga,21.7,1,1,1,1,1,1,1,68.0
morettino italian cafe & bistro,1.274593605245832,103.84338012173752,3.3,143.0,1,1,079027,Downtown Core,Tras Street,10.0,1,1,1,1,1,1,1,70.0
southern soul - nashville hot fried chicken - wings / chicken burgers / tenders / fries,1.3078162,103.82979351641742,4.3,47.0,1,1,229594,Orchard,Claymore Road,21.7,1,1,1,1,1,1,1,70.0
haakon superfoods & juice,1.3106062,103.7960609,4.4,1676.0,1,1,278997,Bukit Timah,Holland Avenue,21.7,1,1,1,1,1,1,1,70.0
the goodburger,1.3237168,103.8104138,4.4,125.0,3,0,269695,Bukit Timah,Coronation Road,21.4,1,1,1,1,1,1,1,64.0
toby's estate coffee,1.2898796,103.8374502682302,4.3,204.0,3,0,238216,River Valley,Rodyk Street,21.7,1,1,1,1,1,1,1,70.0
culina bistro,1.3053755,103.8103963,4.3,178.0,1,0,249675,Tanglin,Dempsey Road,21.7,1,1,1,1,1,1,1,70.0
oyster co,1.288237325142506,103.8421433,4.0,44.0,1,1,059567,Singapore River,Magazine Road,21.7,1,1,1,1,1,1,1,70.0
nipong naepong,1.301193935600068,103.83819196808844,4.3,25.0,1,1,238163,Orchard,Discovery Walk,21.7,1,1,1,1,1,1,1,70.0
publico,1.307807603486869,103.8297827835493,3.8,135.0,1,1,229594,Orchard,Claymore Road,21.7,1,1,1,1,1,1,1,68.0
carrotstick and cravings,1.3021181327237117,103.8129928,4.3,135.0,1,0,248847,Tanglin,Loewen Road,21.7,1,1,1,1,1,1,1,69.0
dolcetto by basilico,1.30459584,103.8251371,4.5,812.0,1,0,249715,Orchard,Cuscaden Road,21.7,1,1,1,1,1,1,1,67.0
the affogato bar,1.322797,103.8142229,4.3,110.0,1,0,259760,Tanglin,Bukit Timah Road,21.5,1,1,1,1,1,1,1,65.0
ma maison,1.3024913,103.83495123651012,4.4,547.0,1,1,238872,Orchard,Ngee Ann City Forecourt,21.7,1,1,1,1,1,1,1,70.0
waterfall ristorante,1.3114494,103.82726961519724,4.4,44.0,1,0,258350,Tanglin,Orange Grove Road,21.7,1,1,1,1,1,1,1,70.0
rosso vino,1.2910096,103.84191193001664,4.0,778.0,1,1,239032,Singapore River,Merbau Road,21.7,1,1,1,1,1,1,1,70.0
d.o.p mozzarella bar & restaurant,1.2900873,103.8392975,4.1,249.0,1,0,238252,Singapore River,Robertson Quay,21.7,1,1,1,1,1,1,1,70.0
atout,1.3057534,103.8136811,4.3,42.0,1,0,248816,Tanglin,Harding Road,21.7,1,1,1,1,1,1,1,69.0
la forketta,1.30342,103.81018543010204,3.7,50.0,1,0,247697,Tanglin,Dempsey Road,21.7,1,0,1,1,1,1,1,69.0
open farm community,1.3058243841343278,103.8156146,4.0,3.0,1,1,248819,Tanglin,Minden Road,21.7,1,1,1,1,1,1,1,67.0
overeasy x loof,1.3048733,103.8135205,4.1,27.0,1,0,249670,Tanglin,Harding Road,21.7,1,1,1,1,1,1,1,70.0
buddy chef grill,1.28666053886226,103.80747686,4.4,1199.0,1,0,150002,Bukit Merah,Jalan Bukit Merah,21.7,1,1,1,1,1,1,1,66.0
beans party dessert,1.3781837,103.7626282,4.3,397.0,2,1,678278,Bukit Panjang,Petir Road,21.7,1,1,1,1,1,1,1,70.0
beni singapore,1.301844,103.836887,4.0,6.0,1,0,348548,Orchard,Orchard Promenade,21.7,1,1,1,0,0,1,1,70.0
killiney,1.2984837753511491,103.83885691,4.2,260.0,1,0,239732,Orchard,Exeter Road,21.7,1,1,1,1,1,1,1,70.0
mamayio,1.307062,103.833206,5.0,2.0,1,1,348548,Orchard,Orchard Promenade,21.7,1,1,1,1,1,1,1,70.0
the quayside,1.290081880952381,103.8390102,3.7,23.0,1,0,238252,Singapore River,Nanson Road,21.7,1,1,1,1,1,1,1,70.0
basilico,1.3046598,103.82512226833045,4.2,56.0,1,0,249715,Orchard,Cuscaden Road,21.7,1,1,1,1,1,1,1,70.0
volt pizzeria - electrifyingly good - pizza / pasta / salad / fries,1.307805,103.82975103333334,4.0,29.0,1,1,229594,Orchard,Claymore Road,21.7,1,1,1,1,1,1,1,67.0
the dempsey cookhouse & bar,1.3058338,103.810335,4.3,73.0,1,0,249676,Tanglin,Dempsey Road,21.7,1,1,1,1,1,1,1,70.0
nasty cookie,1.300469,103.83939021999998,4.9,31.0,1,1,238858,Orchard,Orchard Road,21.7,1,1,1,1,1,1,1,70.0
pasta fresca da salvatore,1.330611873228239,103.79582402605934,3.5,73.0,1,0,268802,Bukit Timah,Fifth Avenue,7.0,1,1,1,1,1,1,1,70.0
prive tiong bahru,1.2849905,103.8332274,4.3,293.0,1,0,160057,Bukit Merah,Eng Hoon Street,21.7,1,1,1,1,1,1,1,70.0
publico,1.2899477,103.83865,4.1,875.0,1,1,238215,Singapore River,Saiboo Street,21.7,1,1,1,1,1,1,1,70.0
les bouchons,1.2904251,103.83962747,4.0,100.0,1,0,238236,Singapore River,Robertson Quay,21.7,1,1,1,1,1,1,1,70.0
49 seats,1.30188005,103.84012877104075,4.0,156.0,3,0,229457,Orchard,Cuppage Road,21.7,1,1,1,1,1,1,1,69.0
hans im glück german burgergrill,1.2636751243637718,103.8232716875342,4.2,788.0,1,1,098585,Bukit Merah,Sentosa Gateway,21.7,1,1,1,1,1,1,1,70.0
blue label pizza & wine,1.3018826,103.8369312,3.9,409.0,3,0,348548,Orchard,Orchard Promenade,21.7,1,1,1,1,1,1,1,70.0
benjamin browns,1.3062309,103.82842045,4.6,12.0,1,0,247905,Orchard,Cuscaden Road,21.7,1,1,1,1,1,1,1,68.0
bakalaki greek taverna,1.285814,103.834251,4.2,37.0,1,0,168891,Bukit Merah,Seng Poh Road,21.7,1,1,1,1,1,1,1,70.0
gangsta chicken,1.3328453687759354,103.74326562042388,2.6,23.0,1,1,608549,Jurong East,Jurong Gateway Road,8.0,1,1,1,1,1,1,1,70.0
omakase burger,1.3006083,103.8398959,2.8,11.0,1,1,238896,Orchard,Orchard Road,21.7,1,1,1,1,1,1,1,70.0
