name,latitude,longitude,rating,no_of_reviews,delivery_options,promotion,post_code,suburb,road,delivery_cost_winsorized,sun,mon,tue,wed,thu,fri,sat,delivery_time_winsorized
pizzaface,1.3009284445457978,103.8621845183822,4.4,119.0,1,0,199600,Kallang,Beach Road,6.0,1,0,1,1,1,1,1,45.0
saveur,1.2966739885698215,103.85490929068564,4.3,24.0,1,0,188592,Bras Basah,Purvis Street,3.3,1,0,1,1,1,1,1,35.0
pasta express,1.295556625,103.8494292,4.7,64.0,1,1,178908,Museum,Stamford Road,4.5,0,1,1,1,1,1,1,40.0
hopheads bar,1.296787,103.8440444,4.0,2.0,1,0,239922,Museum,Penang Lane,4.3,0,1,1,1,1,1,1,28.0
kontiki,1.29486808,103.866697825,1.0,3.0,1,0,437435,Kallang,Tanjong Rhu Promenade,3.9,1,0,1,1,1,1,1,29.0
taco taco burrito burrito,1.2868442,103.849478,3.5,4.0,1,0,049858,Singapore River,Boat Quay,5.9,1,1,1,1,1,1,1,40.0
hummus&grill,1.3012245612755549,103.8597479,2.0,4.0,1,1,199753,Rochor,Baghdad Street,6.3,1,1,1,1,1,1,1,40.0
go greek by zorba,1.2901110635314137,103.8447943194689,3.6,23.0,1,0,179885,Singapore River,Clarke Quay,3.7,1,0,1,1,1,1,1,51.0
smoobar,1.2997361564113463,103.8496618,4.7,14.0,1,0,188351,Rochor,Selegie Road,3.3,1,1,1,1,1,1,1,36.0
mad for garlic,1.2937241187448811,103.8569396,4.0,4.0,3,1,038985,Downtown Core,Suntec City,6.6,1,1,1,1,1,1,1,50.0
chumes - beta,1.295143741940393,103.85250484167732,3.6,78.0,1,0,187996,Bras Basah,Victoria Street,7.7,1,1,1,1,1,1,1,58.0
"mandarin oriental, singapore",1.2901643,103.85817560376958,4.0,45.0,1,0,039802,Marina Centre,Pedestrian Mall,6.6,1,1,1,1,1,1,1,51.0
lighthouse bistro & bar,1.3084386,103.86272448,4.4,16.0,1,0,208766,Kallang,Jellicoe Road,6.6,0,1,1,1,1,1,1,46.0
burger+,1.289145,103.8473171,4.2,89.0,1,0,059815,Singapore River,Eu Tong Sen Street,3.4,1,1,1,1,1,1,1,34.0
craftsmen specialty coffee,1.288733740442396,103.84624264947666,4.4,34.0,1,1,059817,Singapore River,Eu Tong Sen Street,3.4,1,1,1,1,1,1,1,41.0
wildfire burgers,1.30013535,103.85152073956168,4.3,43.0,3,0,189627,Rochor,no road,6.3,1,1,1,1,1,1,1,37.0
burger king,1.2919865,103.85642405,4.3,60.0,3,1,039594,Downtown Core,Raffles Boulevard,6.0,1,1,1,1,1,1,1,46.0
dumpling darlings,1.2874752595862589,103.84882493289945,4.5,31.0,1,1,049376,Singapore River,Circular Road,3.3,0,1,1,1,1,1,1,34.0
chops grill & sides,1.2870066,103.8468694,3.9,39.0,1,0,059304,Singapore River,North Canal Road,3.3,0,1,1,1,1,1,1,37.0
blacktap,1.2821625632745963,103.85741202557348,4.1,29.0,3,1,018940,Downtown Core,Olympic Walk,10.5,1,1,1,1,1,1,1,54.0
caffe cicheti,1.2941958,103.8557316,4.5,12.0,1,0,189763,Downtown Core,Nicoll Highway,3.3,1,1,1,1,1,1,1,46.0
kfc,1.2999404945715411,103.8558897125,4.0,740.0,3,1,188382,Bras Basah,Seah Street,6.3,1,1,1,1,1,1,1,46.0
overrice,1.3007745378371285,103.85960206274274,4.6,44.0,1,0,199745,Rochor,Arab Street,6.3,1,1,1,1,1,1,1,47.0
big fish small fish,1.2994732,103.8556092,4.1,169.0,1,1,188021,Bugis,Victoria Street,4.5,1,1,1,1,1,1,1,50.0
pizza hut,1.3013914,103.861862,4.3,690.0,1,1,199568,Rochor,Beach Road,8.4,1,1,1,1,1,1,1,41.0
marmaris restaurant,1.3055693333333334,103.85293055,4.0,457.0,1,0,229900,Rochor,Race Course Road,9.1,1,1,1,1,1,1,1,51.0
steakville,1.30056075,103.8506616614905,5.0,4.0,1,0,189652,Rochor,Prinsep Street,3.3,1,1,1,1,1,1,1,43.0
han's,1.291333,103.85818902,4.4,35.0,1,0,039594,Marina Centre,Raffles Boulevard,7.5,1,1,1,1,1,1,1,46.0
poulet,1.29333379,103.8537609,4.6,51.0,1,1,189764,Bras Basah,Bras Basah Road,3.3,1,1,1,1,1,1,1,44.0
potatolab,1.29141672,103.8495619,3.8,12.0,1,1,179370,Museum,Hill Street,4.5,1,1,1,1,1,1,1,57.0
saizeriya,1.2910284312592069,103.85791399392286,4.4,76.0,1,1,039594,Downtown Core,Raffles Boulevard,6.1,1,1,1,1,1,1,1,47.0
popeyes,1.2998502,103.8548889,4.2,2244.0,1,1,188024,Rochor,Victoria Street,10.2,1,1,1,1,1,1,1,50.0
rocky master,1.2964551,103.85428641146623,4.7,32.0,1,1,188382,Bras Basah,Seah Street,3.3,1,1,1,1,1,1,1,40.0
cafe f.m.l (cafe for.my.love),1.2995031,103.86083536774926,2.9,8.0,1,0,199592,Kallang,Nicoll Highway,5.3,1,1,1,1,1,1,1,34.0
garibaldi italian restaurant & bar,1.296456770220857,103.85475164617156,4.7,440.0,3,0,188382,Bras Basah,Seah Street,3.3,1,1,1,1,1,1,1,42.0
burrata joy,1.2963599,103.8548581,4.4,25.0,1,0,188382,Bras Basah,Seah Street,3.3,1,1,1,1,1,1,1,47.0
kura patisserie singapore,1.2928738833333333,103.83883974444444,4.2,14.0,1,0,239059,River Valley,Martin Place,4.4,0,1,1,1,1,1,1,43.0
clinton street baking company & restaurant,1.2964579,103.855243,4.4,414.0,3,0,188592,Bras Basah,Purvis Street,3.3,1,1,1,1,1,1,1,42.0
memo cafe,1.2911195,103.83899480466911,2.0,3.0,1,0,239070,River Valley,Martin Road,4.3,1,1,1,1,1,1,1,44.0
the beast,1.3043341465214575,103.8597038228796,4.3,6.0,1,0,199323,Rochor,Jalan Klapa,15.0,1,1,1,1,1,1,1,70.0
the soup spoon,1.299667466384463,103.8556975300778,4.3,338.0,3,1,188021,Bugis,Bugis Street,4.5,1,1,1,1,1,1,1,52.0
yardbird southern table and bar,1.2822261023869146,103.8575442548556,3.6,29.0,3,1,018940,Downtown Core,Olympic Walk,8.7,1,1,1,1,1,1,1,52.0
rbl burgers,1.2917265,103.849576,5.0,1.0,1,1,179105,Civic District,North Bridge Road,4.5,1,1,1,1,1,1,1,55.0
sing heng cuisine,1.297982075,103.8570667,3.0,2.0,1,0,189704,Bugis,Tan Quee Lan Street,3.4,0,0,1,0,0,0,0,46.0
masa by black society,1.3004904,103.8393763,3.6,5.0,1,0,238858,Orchard,Orchard Road,3.8,1,1,1,1,1,1,1,42.0
wljk,1.31073,103.86077,3.0,0.0,1,0,209075,Kallang,Horne Road,7.2,1,1,1,1,1,1,1,51.0
canadian pizza,1.309077789,103.8569324,4.3,28.0,1,0,207903,Rochor,Sam Leong Road,4.0,1,1,1,1,1,1,1,70.0
food for thought,1.2964781,103.84847759105192,2.3,3.0,2,0,178897,Museum,Stamford Road,4.3,1,1,1,1,1,1,1,35.0
swensen's,1.2989578426315789,103.8556317,4.4,263.0,1,1,188021,Bugis,Victoria Street,9.3,1,1,1,1,1,1,1,52.0
le taste,1.31244075,103.86010651127113,4.3,41.0,1,1,209276,Kallang,Foch Road,9.3,1,1,1,1,1,1,1,59.0
harry's,1.289496024529083,103.85615676504784,2.7,3.0,1,1,039802,Marina Centre,The Esplanade,4.5,1,1,1,1,1,1,1,57.0
pizza hut,1.3002331,103.8448761,4.2,350.0,1,1,238839,Museum,Plaza Singapura Forecourt,3.5,1,1,1,1,1,1,1,35.0
le fusion,1.2913906333333334,103.84095015,4.6,8.0,1,0,239013,Singapore River,Kanisha Marican Road,3.6,1,1,1,1,1,1,1,44.0
huggs,1.293404859506185,103.85985605,5.0,6.0,1,0,039596,Marina Centre,Raffles Boulevard,3.5,0,1,1,1,1,1,0,43.0
common grill,1.2914487,103.8581441,4.6,26.0,1,1,039594,Downtown Core,Raffles Boulevard,4.5,1,1,1,1,1,1,1,33.0
osg bar,1.295349,103.858802,3.0,1.0,1,0,038983,Downtown Core,Drop off,3.4,1,1,1,1,1,1,1,31.0
pizza hut,1.3081038196078432,103.8952188,4.2,470.0,1,1,437047,Marine Parade,Tanjong Katong Road,5.5,1,1,1,1,1,1,1,48.0
nashville fried chicken,1.2926789,103.85694991704428,5.0,1.0,1,0,039593,Downtown Core,Raffles Boulevard,3.4,1,1,1,1,1,1,1,34.0
fish & co.,1.2935331166666666,103.85403941598916,4.3,40.0,1,1,189764,Bras Basah,Bras Basah Road,3.4,1,1,1,1,1,1,1,34.0
stickies bar,1.2881655,103.8438249,5.0,5.0,1,0,059765,Singapore River,Cummins Street,3.5,1,1,1,1,1,1,1,29.0
kubes bistro,1.30533,103.85264,5.0,2.0,1,0,229900,Rochor,Race Course Road,8.1,1,1,1,1,1,1,1,49.0
my kitchen,1.30474845,103.89629788,4.4,91.0,3,1,437104,Marine Parade,Tanjong Katong Road,8.3,1,0,1,1,1,1,1,49.0
bistro etroit,1.3014897608254865,103.8413316291496,5.0,1.0,1,0,238841,Orchard,Orchard Road,3.6,1,0,1,1,1,1,1,29.0
killa dilla,1.2868279553001265,103.84945885865145,4.1,8.0,1,0,049858,Singapore River,Boat Quay,5.9,1,1,1,1,1,1,1,42.0
7 tavern,1.318375,103.8425210584922,5.0,2.0,1,0,308899,Novena,Goldhill Plaza,5.6,0,1,0,0,0,0,0,40.0
man fu yuan,1.2985181238350116,103.85505042904713,3.8,6.0,1,0,188966,Bras Basah,Middle Road,10.0,1,1,1,1,1,1,1,70.0
butter bowl,1.3007032,103.8397142,4.0,3.0,3,0,238896,Orchard,Orchard Promenade,4.2,1,1,1,1,1,1,1,45.0
wing zone,1.3148128,103.89045152727272,3.9,141.0,1,1,389659,Geylang,Geylang Road,4.09,1,1,1,1,1,1,1,56.0
pizza addiction,1.31862305,103.8426452,3.3,9.0,1,0,308899,Novena,Goldhill Plaza,5.6,1,0,1,1,1,1,1,40.0
starbucks,1.3018679604791856,103.90515768273592,4.4,804.0,3,1,440087,Marine Parade,Marine Parade Central,7.1,1,1,1,1,1,1,1,55.0
mix & match malls (food),1.3015131591770648,103.90540192218629,4.3,105.0,1,1,449269,Marine Parade,Marine Parade Road,8.4,1,1,1,1,1,1,1,61.0
subway,1.2950708,103.8589543,4.6,77.0,1,1,038983,Downtown Core,Fountain of Wealth,7.5,1,1,1,1,1,1,1,45.0
6 letter coffee,1.3079073,103.8953411,4.5,220.0,1,1,437047,Marine Parade,Tanjong Katong Road,5.5,1,1,1,1,1,1,1,47.0
kopi & tarts,1.2944607,103.85989329,4.6,30.0,1,1,038986,Downtown Core,Temasek Boulevard,7.6,1,1,1,1,1,1,1,46.0
domino's,1.30638,103.89601,4.2,837.0,3,0,437084,Marine Parade,Tanjong Katong Road,4.5,1,1,1,1,1,1,1,55.0
nur fayidha restaurant,1.3017801,103.86062826,4.0,214.0,1,1,198608,Rochor,Sultan Gate,6.2,1,1,1,1,1,1,1,46.0
chopped the salad co,1.294795,103.856552,5.0,2.0,1,1,189763,Downtown Core,Nicoll Highway,3.3,0,1,1,1,1,1,1,52.0
quentin's eurasian restaurant,1.3100190637586269,103.89929657823284,4.6,29.0,1,0,429744,Geylang,Ceylon Road,20.0,1,1,1,1,1,1,1,70.0
sove,1.3025842027858274,103.8623036659478,4.6,38.0,1,1,199597,Kallang,Minto Road,6.1,1,1,1,1,1,1,1,47.0
tolido's espresso nook,1.30450716,103.8608005,4.7,543.0,1,0,190462,Kallang,North Bridge Road,3.6,1,1,1,1,1,1,1,49.0
the soup spoon union,1.3025361194058829,103.87362056618376,3.7,131.0,3,0,397750,Kallang,Stadium Drive,9.0,1,1,1,1,1,1,1,70.0
chick n' grains,1.31502562,103.89045983809524,5.0,3.0,1,1,387878,Geylang,Lorong 39 Geylang,4.09,1,1,1,1,1,1,1,48.0
800° woodfired kitchen,1.3146185,103.894738,3.9,57.0,1,1,437157,Geylang,Tanjong Katong Road,6.1,1,1,1,1,1,1,1,58.0
pasta pronto,1.3148477,103.89475204285716,4.4,170.0,1,1,437157,Geylang,Tanjong Katong Road,6.0,1,1,1,1,1,1,1,56.0
